Student_ID,Study_Hours_Per_Week,Quiz_Score,Assignments_Submitted,Attendance_Percentage,Previous_Grades,Recommended_Study_Material
6271,13.2,82.5,7,96,76,Advanced Topics
6272,18.7,64.9,7,85.3,59.5,Intermediate Practice
6273,14.5,72.1,3,95.2,52,Advanced Topics
6274,9.6,63.7,0,80.6,74.5,Time Management & Practice
6275,13,66.7,1,96.2,47.6,Intermediate Practice
6276,15.4,71,1,82.6,73.8,Advanced Topics
6277,19.6,80.7,1,82.8,74.1,Advanced Topics
6278,14.1,76.3,8,67.2,48.7,Advanced Topics
6279,9,67.6,6,76,49.7,Time Management & Practice
6280,15.3,70.8,8,78,87.6,Advanced Topics
6281,15.6,76.5,9,66.9,77.3,Advanced Topics
6282,15.9,80,9,76.4,75.3,Advanced Topics
6283,19.6,47.2,1,91.9,71.2,Basic Concepts
6284,20.1,53.8,4,93,78.7,Intermediate Practice
6285,12,86.6,0,68.1,78.7,Advanced Topics
6286,11.9,69.1,1,100,55.9,Intermediate Practice
6287,9.8,63.6,3,93.4,65.1,Time Management & Practice
6288,18.5,66,9,100,61.4,Intermediate Practice
6289,22.2,66,0,96.1,76.6,Intermediate Practice
6290,13.4,78.4,7,100,70.5,Advanced Topics
6291,13.8,53.4,5,89.2,87,Intermediate Practice
6292,22.3,70.4,0,77.2,72.2,Advanced Topics
6293,17.5,73.7,8,87.6,68.6,Advanced Topics
6294,17.2,75.9,0,62.6,80.2,Advanced Topics
6295,9,73.3,3,83.4,80.4,Advanced Topics
6296,18.4,77.7,4,84.5,86.3,Advanced Topics
6297,10.4,61.4,8,94.7,71.1,Intermediate Practice
6298,9.3,55.9,1,87.1,98.8,Time Management & Practice
6299,13.3,100,8,80.6,81.9,Advanced Topics
6300,12.1,65.5,0,71,99.4,Intermediate Practice
6301,13.9,67.2,3,77.5,69.3,Intermediate Practice
6302,7.8,80.2,6,82.8,100,Advanced Topics
6303,19.8,93.9,3,78,78.7,Advanced Topics
6304,20.6,61.8,7,58.8,52.6,Intermediate Practice
6305,5.3,55,6,84.9,53.7,Time Management & Practice
6306,19.9,51.4,5,80.3,63.6,Intermediate Practice
6307,10.9,93.9,4,80.2,63.4,Advanced Topics
6308,19.3,54.4,9,86.6,73.1,Intermediate Practice
6309,14.7,69.6,2,80.4,94.4,Intermediate Practice
6310,15.1,55.3,7,95.8,72.9,Intermediate Practice
6311,14.1,48.3,3,77.6,52.9,Basic Concepts
6312,21.1,65.6,7,76.8,74.6,Intermediate Practice
6313,8.8,55.9,0,77.4,62,Time Management & Practice
6314,18,59.6,1,86.8,62.7,Intermediate Practice
6315,20.5,100,1,86.6,65.2,Advanced Topics
6316,18.6,76.4,5,79.4,62.5,Advanced Topics
6317,26.6,84,4,84.9,48.6,Advanced Topics
6318,12.4,82.4,9,88.8,69.4,Advanced Topics
6319,19.8,68.5,9,91,94.1,Intermediate Practice
6320,14.5,63.4,6,83.8,80,Intermediate Practice
6321,21.2,73.7,1,77.1,50.2,Advanced Topics
6322,15,72.5,8,77.1,30,Advanced Topics
6323,13.1,61.5,1,87.6,73,Intermediate Practice
6324,21.5,71.9,0,92.2,76.7,Advanced Topics
6325,12.5,59.4,1,86.5,76.6,Intermediate Practice
6326,7.9,67.4,2,81.1,69.7,Time Management & Practice
6327,12.4,65,5,79.3,52.5,Intermediate Practice
6328,18.1,51,6,93.1,92.9,Intermediate Practice
6329,22,34.7,5,72.7,66.1,Basic Concepts
6330,15.6,55.9,0,80.2,60.2,Intermediate Practice
6331,21.6,97.1,8,99.4,75.4,Advanced Topics
6332,8.2,65.4,7,96.7,60.4,Time Management & Practice
6333,12.8,81.6,1,87,51,Advanced Topics
6334,13.6,38.1,0,80.1,60.7,Basic Concepts
6335,14.4,54.9,6,82.5,71.6,Intermediate Practice
6336,15.4,49.7,2,85.9,87.6,Basic Concepts
6337,18.5,67,2,100,40.9,Intermediate Practice
6338,12.8,100,9,95.2,74.4,Advanced Topics
6339,15.7,76.9,8,93.9,80.6,Advanced Topics
6340,14.8,95.4,1,83.4,74.1,Advanced Topics
6341,10.4,66.2,4,80,77.5,Intermediate Practice
6342,14.4,90.5,3,83,89.2,Advanced Topics
6343,14.3,100,0,95,82.1,Advanced Topics
6344,14.2,68.4,5,100,62,Intermediate Practice
6345,15.2,61.9,5,76.5,82.3,Intermediate Practice
6346,15.4,50.2,0,62,70.4,Intermediate Practice
6347,12.8,65.4,6,82.5,79.8,Intermediate Practice
6348,21.4,71.2,5,95.6,49.3,Advanced Topics
6349,9.2,100,3,79.3,65.4,Advanced Topics
6350,11.4,50.6,6,89.5,77.1,Intermediate Practice
6351,28.9,70.9,2,73.8,66.1,Advanced Topics
6352,9.8,42.8,9,82.1,76,Basic Concepts
6353,8.2,63.6,5,77.1,88.1,Time Management & Practice
6354,18.7,74.7,5,83.5,63.9,Advanced Topics
6355,4.6,77.7,9,87,81.3,Advanced Topics
6356,13.8,78.8,5,91.9,52.6,Advanced Topics
6357,25.7,76,2,80.8,79.4,Advanced Topics
6358,7.3,78.7,9,73.6,43.5,Advanced Topics
6359,5.1,70.7,4,69.8,71,Advanced Topics
6360,7.5,54.3,0,95.8,70.5,Time Management & Practice
6361,19.5,42.2,5,76.9,93.8,Basic Concepts
6362,20.6,61.8,6,90.2,60.7,Intermediate Practice
6363,12.4,68,4,69.1,38.1,Intermediate Practice
6364,18.4,88.8,4,100,75.9,Advanced Topics
6365,22,68.5,5,100,52.8,Intermediate Practice
6366,23.9,67.1,6,88.3,68.9,Intermediate Practice
6367,13.8,75.8,3,82.1,58.1,Advanced Topics
6368,3.5,65.9,6,99.4,64.9,Time Management & Practice
6369,10.9,82.2,4,80,35.8,Advanced Topics
6370,12.9,99.7,6,85.5,42,Advanced Topics
6371,13.7,100,0,57.3,73.7,Advanced Topics
6372,14.1,71.5,9,84.2,65.8,Advanced Topics
6373,20.6,75.1,1,96.6,50.8,Advanced Topics
6374,21.4,93.7,1,80.4,59.7,Advanced Topics
6375,14.1,67.8,6,80.6,75.4,Intermediate Practice
6376,20.5,80.2,8,80.6,63.8,Advanced Topics
6377,16.8,53,6,100,74.5,Intermediate Practice
6378,15.3,65.3,5,87.3,54.9,Intermediate Practice
6379,19.5,87.3,2,85.4,76.2,Advanced Topics
6380,15.4,59.2,4,81,64.4,Intermediate Practice
6381,25.3,68.1,9,95.3,73.7,Intermediate Practice
6382,7.8,46.4,1,76.9,72.4,Basic Concepts
6383,12.4,100,8,97.6,61.9,Advanced Topics
6384,14.4,88.9,5,83.8,62.7,Advanced Topics
6385,17.2,72.8,8,96.7,65.7,Advanced Topics
6386,21.3,77.6,8,81.3,78.2,Advanced Topics
6387,14.9,75.9,6,93.2,93.9,Advanced Topics
6388,7.9,90.8,4,90.4,56.2,Advanced Topics
6389,19.2,62.2,3,84.4,82.5,Intermediate Practice
6390,18.8,81,0,98.7,64,Advanced Topics
6391,5.3,86.2,8,98,66.4,Advanced Topics
6392,15,88.2,5,78.6,72.3,Advanced Topics
6393,7,36.1,1,77.8,61.2,Basic Concepts
6394,11.7,61,6,82.6,62.6,Intermediate Practice
6395,10.5,54.7,5,82,96.1,Intermediate Practice
6396,19,72.2,3,95.4,69.3,Advanced Topics
6397,15.6,39.8,5,88.6,75.4,Basic Concepts
6398,8.6,39.3,5,76,95.3,Basic Concepts
6399,19.4,100,4,76.5,94.8,Advanced Topics
6400,7.8,79.3,0,86.1,65.4,Advanced Topics
6401,16.7,71.8,2,93.7,56.4,Advanced Topics
6402,10.9,75.5,6,100,51.9,Advanced Topics
6403,13.2,72.2,1,86.7,50.4,Advanced Topics
6404,17.5,85,9,83.8,61.6,Advanced Topics
6405,17.6,60.5,9,82.8,51.5,Intermediate Practice
6406,21.7,72.8,0,77.7,67,Advanced Topics
6407,14.6,73.4,7,84.2,57.3,Advanced Topics
6408,16.5,54.3,6,80.1,62.9,Intermediate Practice
6409,12.8,89.2,5,80.9,66.5,Advanced Topics
6410,15.9,63.3,9,90.9,63.2,Intermediate Practice
6411,17.2,85.3,4,70.6,52.2,Advanced Topics
6412,14.5,71.7,5,65.8,73.3,Advanced Topics
6413,6,94.5,0,75.5,86.5,Advanced Topics
6414,16.7,54.4,8,92.9,86.1,Intermediate Practice
6415,16.8,53.7,0,88.5,80.9,Intermediate Practice
6416,11.6,56.4,3,94.4,63.9,Intermediate Practice
6417,8.6,72,2,68.5,58.5,Advanced Topics
6418,22.4,93.1,3,90.1,78.6,Advanced Topics
6419,17.5,93.9,0,70.6,72.9,Advanced Topics
6420,13.9,35.4,9,74.2,78.6,Basic Concepts
6421,9.3,73.7,3,72,95.7,Advanced Topics
6422,10.9,21.8,3,73.7,67.7,Basic Concepts
6423,21.5,81.9,2,100,56.6,Advanced Topics
6424,15.7,86.8,7,90.3,60.1,Advanced Topics
6425,12.2,69.4,6,66.5,70.1,Intermediate Practice
6426,17.5,71.3,8,69.3,59.4,Advanced Topics
6427,10.9,71.1,1,85.8,79.2,Advanced Topics
6428,22.5,58.2,9,86.7,78.5,Intermediate Practice
6429,21.8,76.5,2,78.6,87.3,Advanced Topics
6430,12.7,66.5,5,100,87.5,Intermediate Practice
6431,11.9,84,1,76.1,30.1,Advanced Topics
6432,1.9,68.3,1,94.3,56.2,Time Management & Practice
6433,7.6,57.1,9,93.1,69.6,Time Management & Practice
6434,8.3,47,1,100,51.2,Basic Concepts
6435,15.7,42,1,100,67.1,Basic Concepts
6436,13.4,89.7,4,91.9,56.4,Advanced Topics
6437,8.3,63.1,0,85.4,61.8,Time Management & Practice
6438,13.6,75.1,6,88.6,93.1,Advanced Topics
6439,17.5,96.7,0,91.1,86.5,Advanced Topics
6440,17.6,61.6,0,66.4,68.4,Intermediate Practice
6441,5.5,60.6,4,70,54.8,Time Management & Practice
6442,14.4,68,6,94.7,73.2,Intermediate Practice
6443,8.1,70.4,2,98.7,35.9,Advanced Topics
6444,19.5,98.3,6,99.9,78.2,Advanced Topics
6445,18.9,93.5,8,82.9,76.8,Advanced Topics
6446,10.5,79.3,3,88.3,50.6,Advanced Topics
6447,11.2,91.7,4,80.4,88.4,Advanced Topics
6448,12.7,67.3,7,100,59.4,Intermediate Practice
6449,3.7,74.5,8,81.1,54.6,Advanced Topics
6450,16.7,65.5,4,77.2,70.9,Intermediate Practice
6451,13.6,50.6,4,83.4,48.5,Intermediate Practice
6452,19.9,88.1,1,81.1,55.3,Advanced Topics
6453,9.5,78,8,84.3,73.6,Advanced Topics
6454,11.9,70.3,5,94,61.5,Advanced Topics
6455,7.5,70,4,86.3,89.5,Advanced Topics
6456,10,47.4,4,79.1,45,Basic Concepts
6457,9.1,55.3,3,78.5,69.7,Time Management & Practice
6458,20,75,0,79.6,83.3,Advanced Topics
6459,11.5,62.1,5,65.6,80.2,Intermediate Practice
6460,15.6,66.7,0,94,57.9,Intermediate Practice
6461,13.1,68.4,9,91.2,95.6,Intermediate Practice
6462,8.7,59.8,1,100,40.2,Time Management & Practice
6463,14.2,55.5,6,88.8,67.6,Intermediate Practice
6464,18,45.8,0,69.9,82,Basic Concepts
6465,9,67.8,7,86.5,86.4,Time Management & Practice
6466,19,79.3,7,86.8,54.6,Advanced Topics
6467,10.8,45.3,6,92.4,70.3,Basic Concepts
6468,12.6,69.6,6,100,80,Intermediate Practice
6469,17.7,74.2,0,72.6,65.5,Advanced Topics
6470,11.7,55.2,2,90.7,50.2,Intermediate Practice
6471,15.2,91.3,8,83.3,42.3,Advanced Topics
6472,13.4,64.2,4,100,58.2,Intermediate Practice
6473,15.6,68.5,4,93.8,59.7,Intermediate Practice
6474,3.1,67.6,6,82.4,56.7,Time Management & Practice
6475,5.9,43.4,9,98.6,96,Basic Concepts
6476,18.1,85.1,7,82.5,76.4,Advanced Topics
6477,20.2,55.7,5,91.8,63.7,Intermediate Practice
6478,10.4,66.5,4,81.1,64.7,Intermediate Practice
6479,13.8,79,0,85.7,65.6,Advanced Topics
6480,16.5,91.9,9,97.7,76.9,Advanced Topics
6481,18.5,53.8,9,81.3,51.8,Intermediate Practice
6482,4.9,63.3,9,54.6,53.7,Time Management & Practice
6483,10.6,90.7,8,77.4,67.6,Advanced Topics
6484,13.3,77,5,99.8,26.6,Advanced Topics
6485,18.5,80.1,2,100,55.9,Advanced Topics
6486,27.5,54.2,9,77.8,81.5,Intermediate Practice
6487,13.9,64.3,6,69.1,79.8,Intermediate Practice
6488,8,67.5,3,80.3,43.9,Time Management & Practice
6489,17,57.1,2,94.7,66.3,Intermediate Practice
6490,21.6,44.9,6,82.8,48.2,Basic Concepts
6491,15.5,62.3,5,65.1,56.5,Intermediate Practice
6492,10.5,90.3,3,90.7,58.6,Advanced Topics
6493,19.8,70.9,9,95.3,77.8,Advanced Topics
6494,18.3,90.6,7,100,82,Advanced Topics
6495,9.9,72.7,1,64.4,60.3,Advanced Topics
6496,16.9,58.5,5,96.4,45.3,Intermediate Practice
6497,20,89.2,2,86.9,40.9,Advanced Topics
6498,20.9,73.2,7,78.4,84.9,Advanced Topics
6499,14.7,84.4,7,68.5,63.7,Advanced Topics
6500,13.2,54,0,66.4,64.7,Intermediate Practice
6501,21.1,85.6,1,77.3,50.7,Advanced Topics
6502,8.9,86,3,76.8,81.7,Advanced Topics
6503,17.2,74.3,0,83.9,77,Advanced Topics
6504,8.1,57.9,2,99.8,61.4,Time Management & Practice
6505,20.3,69.3,3,84.3,53.9,Intermediate Practice
6506,13.7,79.2,9,69.6,70.6,Advanced Topics
6507,21.3,73.5,2,74.8,40.1,Advanced Topics
6508,17.5,79,4,88.4,75.2,Advanced Topics
6509,8.9,85.2,9,77.5,63.3,Advanced Topics
6510,22.1,60.3,6,83.8,70.6,Intermediate Practice
6511,22.8,52.7,7,96.5,67.3,Intermediate Practice
6512,19.4,69.4,7,91.5,80.6,Intermediate Practice
6513,11.2,65.1,1,79.5,81.6,Intermediate Practice
6514,13.5,81.8,0,75.2,83.6,Advanced Topics
6515,15.7,53.9,5,100,69.5,Intermediate Practice
6516,11.5,85.3,0,78,66.8,Advanced Topics
6517,23.5,90.3,5,100,57.8,Advanced Topics
6518,15.7,70,6,100,59.2,Advanced Topics
6519,1.5,70.9,8,84.1,73.2,Advanced Topics
6520,16.7,58.5,9,72.8,68.2,Intermediate Practice
6521,13.3,61.9,9,85.4,86.2,Intermediate Practice
6522,14.6,63.9,0,98.2,64.5,Intermediate Practice
6523,13.2,91.6,6,81.2,46.4,Advanced Topics
6524,19,68.9,3,71.8,70.2,Intermediate Practice
6525,20.6,50.2,8,79.4,81.9,Intermediate Practice
6526,16.4,73.8,3,88.9,75.7,Advanced Topics
6527,13.3,82.4,1,89.7,75.1,Advanced Topics
6528,14.8,69.6,0,85.8,83.1,Intermediate Practice
6529,15.1,92,6,80.3,71.1,Advanced Topics
6530,11,81.7,6,83.8,43.3,Advanced Topics
6531,17.9,54.3,2,80.4,80.6,Intermediate Practice
6532,17.3,61.7,4,86.4,72.2,Intermediate Practice
6533,22.7,73.4,9,87.6,66.1,Advanced Topics
6534,21.3,45,6,82.6,49.6,Basic Concepts
6535,11.6,75,7,76.6,56,Advanced Topics
6536,19.1,43.6,8,97.5,40.3,Basic Concepts
6537,10.2,85.4,9,88,59.9,Advanced Topics
6538,18.5,83.6,9,92.2,58.9,Advanced Topics
6539,12.4,77.6,0,77.6,66.1,Advanced Topics
6540,9.9,59.9,8,84.1,91.4,Time Management & Practice
6541,16.4,72.6,5,77.4,82.3,Advanced Topics
6542,1.6,62.3,5,99.1,68.5,Time Management & Practice
6543,6.2,54.5,6,74.2,56.7,Time Management & Practice
6544,14.1,64.9,8,74.9,50.7,Intermediate Practice
6545,15.4,80.5,6,85.7,84,Advanced Topics
6546,13.2,70.7,6,73.3,48.7,Advanced Topics
6547,7.1,91.8,2,99.1,50.5,Advanced Topics
6548,10.9,81.5,9,70.9,100,Advanced Topics
6549,17,79.9,8,82.6,65,Advanced Topics
6550,17.9,45.9,3,80.8,99.1,Basic Concepts
6551,14.9,65.7,5,88,62.7,Intermediate Practice
6552,20.8,54,6,77,86.7,Intermediate Practice
6553,17,67.3,8,87.6,72,Intermediate Practice
6554,11.3,59.6,9,76.4,57.5,Intermediate Practice
6555,13.6,64.3,2,74.9,54.6,Intermediate Practice
6556,8,85.9,1,82.7,34.6,Advanced Topics
6557,14.5,77.1,1,84,53,Advanced Topics
6558,20.6,85.1,1,82.2,78.3,Advanced Topics
6559,18.4,46,8,81.1,66.9,Basic Concepts
6560,22,70.9,7,98.6,59.4,Advanced Topics
6561,13.5,84.5,8,88,66.2,Advanced Topics
6562,21.7,92.6,8,87.4,82.2,Advanced Topics
6563,14,46.8,0,95.7,47.2,Basic Concepts
6564,22.4,64.7,9,71.4,73.1,Intermediate Practice
6565,14.9,85.5,9,100,45.5,Advanced Topics
6566,18.5,67.1,8,68.2,26.2,Intermediate Practice
6567,22.4,56.3,0,97.3,58.7,Intermediate Practice
6568,14,46.8,4,68.2,60.7,Basic Concepts
6569,16.1,55.8,3,84.4,63,Intermediate Practice
6570,21.4,44.7,7,78.8,66.4,Basic Concepts
6571,14.3,70.9,4,100,75.8,Advanced Topics
6572,8.4,83.4,8,92.7,56.7,Advanced Topics
6573,25.7,51.1,0,82.1,47.9,Intermediate Practice
6574,12.7,73.9,7,90.3,84,Advanced Topics
6575,15.8,82.7,5,87.8,86.9,Advanced Topics
6576,20.8,70,0,92,70.9,Advanced Topics
6577,12,45.8,1,83,74.7,Basic Concepts
6578,10,75.8,3,78.1,82.8,Advanced Topics
6579,16.3,69.2,4,63.3,83,Intermediate Practice
6580,6,67.7,0,81.6,49.7,Time Management & Practice
6581,13.6,61.8,9,86.3,64.3,Intermediate Practice
6582,16.2,71.3,6,75,42.9,Advanced Topics
6583,13.7,77.6,3,84.2,72,Advanced Topics
6584,7.3,100,0,96.1,76.9,Advanced Topics
6585,23,71.7,5,85.9,47.3,Advanced Topics
6586,15.5,92.7,8,77.6,77.8,Advanced Topics
6587,22.2,75.4,8,94.2,82.1,Advanced Topics
6588,13.7,68.5,3,87.2,90.4,Intermediate Practice
6589,10.6,72.2,6,86.9,65.6,Advanced Topics
6590,16.3,51.7,9,80.7,75.1,Intermediate Practice
6591,13.9,74.6,0,72.4,87.8,Advanced Topics
6592,9.1,40.1,9,87.4,50.2,Basic Concepts
6593,22.3,57.1,8,88.7,65.9,Intermediate Practice
6594,11.9,71.6,0,77.8,48.6,Advanced Topics
6595,5.8,87.9,8,86.6,68.7,Advanced Topics
6596,21.6,91.5,5,94.3,64.6,Advanced Topics
6597,12.5,66.5,9,74.8,58.4,Intermediate Practice
6598,12,72.3,6,89.2,77.2,Advanced Topics
6599,6.2,84.8,3,84,56.6,Advanced Topics
6600,23.7,50.1,8,94.6,62,Intermediate Practice
6601,8.6,76.1,5,95.8,84.8,Advanced Topics
6602,15.3,57.6,5,85.6,98.3,Intermediate Practice
6603,19.6,67.4,9,85,89.5,Intermediate Practice
6604,17.1,63.1,5,82.8,71.9,Intermediate Practice
6605,14.7,76.5,3,74.4,79,Advanced Topics
6606,6.5,78.3,6,88.9,72.4,Advanced Topics
6607,11,83.4,1,85.6,37.6,Advanced Topics
6608,15.9,75.2,1,77.4,43.7,Advanced Topics
6609,11.1,72.6,5,65.3,63.7,Advanced Topics
6610,16,97.8,8,90.5,96.8,Advanced Topics
6611,18.4,47.1,2,81.4,50.1,Basic Concepts
6612,19.8,95.4,6,91.8,78.9,Advanced Topics
6613,8.9,65.7,8,71.4,49.3,Time Management & Practice
6614,26,78.6,8,85.7,81.7,Advanced Topics
6615,18.8,65.1,2,84.7,76.4,Intermediate Practice
6616,15,59.5,0,82.9,49.1,Intermediate Practice
6617,20.4,77.3,1,100,69.7,Advanced Topics
6618,26.8,85.6,7,86.6,77.8,Advanced Topics
6619,7.8,77.1,6,67.7,71.5,Advanced Topics
6620,13.9,61.9,0,81,85.9,Intermediate Practice
6621,3.1,100,2,68.9,78.8,Advanced Topics
6622,16,88,7,99.2,95.7,Advanced Topics
6623,16.8,84,6,87.5,91.8,Advanced Topics
6624,14.8,64.7,4,83.4,75.5,Intermediate Practice
6625,11.7,60.6,2,70.9,80.4,Intermediate Practice
6626,4.8,65.8,6,86.7,64.8,Time Management & Practice
6627,16.9,86.2,4,95.5,74.2,Advanced Topics
6628,22.3,55.1,0,90.9,78.1,Intermediate Practice
6629,12,54,4,90.5,59.8,Intermediate Practice
6630,17.2,78.1,2,99.3,91,Advanced Topics
6631,7.2,74.8,1,100,62.3,Advanced Topics
6632,17.3,58.4,2,86.1,72.6,Intermediate Practice
6633,13,53.6,9,90.9,65.3,Intermediate Practice
6634,11.2,91.6,3,100,90.1,Advanced Topics
6635,11.2,75.4,0,75,47.3,Advanced Topics
6636,13,49.5,3,89.8,48.8,Basic Concepts
6637,16.9,50.6,8,74.8,59.1,Intermediate Practice
6638,8.4,64.6,0,81.3,62.3,Time Management & Practice
6639,13,81,6,98.4,68.8,Advanced Topics
6640,14.8,78.9,7,76.6,48.8,Advanced Topics
6641,9.5,87,8,95.9,71.8,Advanced Topics
6642,24,47.6,6,78.9,48.6,Basic Concepts
6643,10.7,73.4,8,96,70,Advanced Topics
6644,11.7,91.4,9,99.6,85.9,Advanced Topics
6645,10.1,90,2,75.9,80.9,Advanced Topics
6646,24,75.4,0,91.4,62.8,Advanced Topics
6647,17.8,100,1,96.1,58.9,Advanced Topics
6648,10.3,79.1,9,80.7,100,Advanced Topics
6649,20.5,85.6,0,90.7,78.4,Advanced Topics
6650,16,70.7,1,73,77.8,Advanced Topics
6651,16.3,58.3,8,100,83.2,Intermediate Practice
6652,13.3,56.9,4,77.6,76.6,Intermediate Practice
6653,11.3,72.7,3,82.1,76.4,Advanced Topics
6654,16.7,66.8,1,83.7,73.4,Intermediate Practice
6655,12.3,43.5,2,85.8,72.9,Basic Concepts
6656,24.1,54.6,8,89.5,63.9,Intermediate Practice
6657,8.7,65.2,2,89.3,67,Time Management & Practice
6658,22.7,80.9,7,73.9,91,Advanced Topics
6659,14.4,69.8,0,72.5,80.9,Intermediate Practice
6660,16.5,68.9,4,100,55.8,Intermediate Practice
6661,19.2,55.2,1,96.6,82.1,Intermediate Practice
6662,11.8,70.3,3,72,67.1,Advanced Topics
6663,19.3,89.8,1,89,57,Advanced Topics
6664,1.5,72.3,2,93.1,74.4,Advanced Topics
6665,11.4,47.4,4,100,55.3,Basic Concepts
6666,10.4,51.2,1,80.3,54.6,Intermediate Practice
6667,8.7,78.8,8,95.2,87.4,Advanced Topics
6668,13.9,66.6,7,92.3,49.8,Intermediate Practice
6669,16.9,68.9,4,78.1,71.2,Intermediate Practice
6670,18.5,60.8,0,81.6,81.4,Intermediate Practice
6671,16.2,77.6,4,77.5,55.9,Advanced Topics
6672,11.7,65.5,3,88.6,84.7,Intermediate Practice
6673,16.8,67.2,8,69.5,77.5,Intermediate Practice
6674,15.6,57.2,1,82.8,100,Intermediate Practice
6675,19.7,83.8,6,81.4,70.5,Advanced Topics
6676,18.9,66.7,1,64.6,96.5,Intermediate Practice
6677,15.2,79.1,2,88.1,50.3,Advanced Topics
6678,10.5,52.1,2,91.8,56.5,Intermediate Practice
6679,11.7,96,9,70.5,85,Advanced Topics
6680,12.3,89.2,7,85,60.1,Advanced Topics
6681,13.4,41.4,1,71.2,61.4,Basic Concepts
6682,16.3,58,0,86.2,96.7,Intermediate Practice
6683,18.6,77.2,5,96.7,78.6,Advanced Topics
6684,14.7,50.2,5,79.9,76.6,Intermediate Practice
6685,15.1,68,0,82.1,72.8,Intermediate Practice
6686,15.7,76.4,4,100,74.3,Advanced Topics
6687,12.4,67.2,8,77.6,42.2,Intermediate Practice
6688,10.4,78.1,9,75.6,70.9,Advanced Topics
6689,6.2,59.6,9,84.9,58,Time Management & Practice
6690,11.5,36.3,4,100,83.7,Basic Concepts
6691,17.4,84.7,6,87.5,57.8,Advanced Topics
6692,11.5,84.6,5,78.4,60.1,Advanced Topics
6693,13.8,100,9,91,48,Advanced Topics
6694,17.3,36.9,3,92.5,77.9,Basic Concepts
6695,17.6,81.3,1,91.1,89.8,Advanced Topics
6696,9.6,40.5,9,92.8,54.9,Basic Concepts
6697,20,96.3,4,94.4,58.3,Advanced Topics
6698,20.6,77.3,9,83.7,83.3,Advanced Topics
6699,9.4,55.7,8,83.7,67.4,Time Management & Practice
6700,10.9,81.7,2,93.4,71.5,Advanced Topics
6701,21,61.7,2,60.6,76.2,Intermediate Practice
6702,14.3,74.5,6,59.1,64.6,Advanced Topics
6703,3.9,73.1,9,79,62.7,Advanced Topics
6704,8,96.2,1,81.6,54.4,Advanced Topics
6705,13.8,97.2,7,91.9,52.9,Advanced Topics
6706,9.2,61,6,80.2,39.8,Time Management & Practice
6707,12.9,85.9,7,96.7,70.5,Advanced Topics
6708,15.2,75.3,9,86.4,70.4,Advanced Topics
6709,22.3,48.8,5,77.2,75,Basic Concepts
6710,13.5,59.6,4,97.6,81.3,Intermediate Practice
6711,20.4,100,3,87.8,71.4,Advanced Topics
6712,22.1,75.4,7,72,47.2,Advanced Topics
6713,22.2,85,1,92.6,57.7,Advanced Topics
6714,16.4,66.8,5,92.6,53.2,Intermediate Practice
6715,5.2,61.9,9,72.2,53.6,Time Management & Practice
6716,17.3,70.4,5,86.1,76.5,Advanced Topics
6717,20.2,66,4,91,69,Intermediate Practice
6718,14.6,47.6,1,68.3,54.7,Basic Concepts
6719,23.7,55,4,95.6,79,Intermediate Practice
6720,19.3,80.6,2,78.1,64.9,Advanced Topics
6721,17.8,64.3,6,76.3,56.9,Intermediate Practice
6722,20.4,70.4,6,82.2,74.2,Advanced Topics
6723,16.7,73.5,7,92,88.6,Advanced Topics
6724,2.5,74.7,9,95,58.5,Advanced Topics
6725,12.5,87.2,8,100,53.9,Advanced Topics
6726,21,53.5,0,76.1,74.7,Intermediate Practice
6727,11,78.6,3,88.7,70.7,Advanced Topics
6728,13.9,81.3,5,91.8,61.6,Advanced Topics
6729,9.8,84.8,6,89.8,58.9,Advanced Topics
6730,23.9,48.8,4,75.2,70.2,Basic Concepts
6731,23.4,73.8,5,87.6,50.6,Advanced Topics
6732,10.6,95.7,0,88.2,61.8,Advanced Topics
6733,15.7,68.5,4,78.7,57.6,Intermediate Practice
6734,11.6,77.3,1,89.8,54.3,Advanced Topics
6735,18.1,81.7,1,87.1,71.8,Advanced Topics
6736,17.5,54.6,0,71.5,95.8,Intermediate Practice
6737,19.1,97.5,9,91.3,44.8,Advanced Topics
6738,16.7,77.5,8,86.1,81,Advanced Topics
6739,29.7,77.8,3,66.1,69.4,Advanced Topics
6740,9.9,45.1,3,82,8.8,Basic Concepts
6741,6.4,81.9,8,86.2,62.5,Advanced Topics
6742,13,77.6,4,77.8,100,Advanced Topics
6743,7.2,94.4,3,88.1,37.3,Advanced Topics
6744,7.5,65.3,6,82.1,85.8,Time Management & Practice
6745,10,55.2,4,95.3,74.3,Intermediate Practice
6746,10.4,59.8,7,87.7,54.5,Intermediate Practice
6747,10.2,62.4,2,100,75.4,Intermediate Practice
6748,17.6,53.2,7,70.6,74.4,Intermediate Practice
6749,12.5,89.4,5,88.2,67.1,Advanced Topics
6750,14.1,89.9,8,85.2,63.3,Advanced Topics
6751,19.5,67.1,5,89.2,62.1,Intermediate Practice
6752,11.2,64.1,3,98.1,72.5,Intermediate Practice
6753,13.7,42.8,1,70.7,75.8,Basic Concepts
6754,16.8,80.4,2,91.1,82.7,Advanced Topics
6755,5.3,94.8,6,88.4,65.6,Advanced Topics
6756,3.1,60.4,9,75.9,73.4,Time Management & Practice
6757,16.7,68.2,4,96.9,48.7,Intermediate Practice
6758,17.5,76.5,6,85.6,42,Advanced Topics
6759,25.3,95.9,6,77.6,61.5,Advanced Topics
6760,15.8,73,5,89.3,50.6,Advanced Topics
